Call_number,Contributors,Date_text,Date,Digitized,Set,Genre,Id,IIIF_manifest,Preview_url,Index,Type_of_resource,MODS Record,MARC Record,Dublin Core Record,MARCXML Record,Rights,Source_collection,Language,Lccn,Medium,Mime_type,Notes,Online_format,Original_format,Part_of,Repository,Number_of_files,Shelf_id,Subjects,Last_updated_in_api,Title,Url,Creators_names,Creators_roles,Location_text,Subject_headings,Location_Short_name,Location_Full_name,Location_Osm_url,Location_Latitude,Location_Longitude,Location_County,Location_State_district,Location_State,Location_Country,Description,Other_title,METSXML Record
LC-USF35-456 [P&P],"Delano, Jack, 1914-1997, photographer.",1941 Dec.,1939,TRUE,Main-Streets,Slides--Color,http://www.loc.gov/item/2017877870/,http://www.loc.gov/item/2017877870/manifest.json,https://tile.loc.gov/storage-services/service/pnp/fsac/1a33000/1a33900/1a33975r.jpg#h=452&w=640 | https://tile.loc.gov/storage-services/service/pnp/fsac/1a33000/1a33900/1a33975_150px.jpg#h=106&w=150 | https://tile.loc.gov/storage-services/service/pnp/fsac/1a33000/1a33900/1a33975t.gif#h=106&w=150 | https://tile.loc.gov/storage-services/service/pnp/fsac/1a33000/1a33900/1a33975v.jpg#h=723&w=1024,1,Still image,https://lccn.loc.gov/2017877870/mods,https://www.loc.gov/pictures/item/2017877870/marc/,https://lccn.loc.gov/2017877870/dc,https://lccn.loc.gov/2017877870/marcxml,"No known restrictions on publication. | <p>The contents of the Library of Congress Farm Security Administration/Office of War Information Color Photographs are in the public domain and are free to use and reuse.</p>  <p> Credit Line: Library of Congress, Prints &amp; Photographs Division, Farm Security Administration/Office of War Information Color Photographs.</p>  <p>For information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/072_fsac.html"">U.S. Farm Security Administration/Office of War Information Color Transparencies - Rights and Restrictions Information</a></p>  <p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>  <p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p>",Farm Security Administration - Office of War Information color slides and transparencies collection (Library of Congress),English,2017877870,1 slide : color.,image/jpg | image/gif | image/tif,"Additional information about this photograph might be available through the Flickr Commons project at http://www.flickr.com/photos/library_of_congress/2178374441 | Transfer from U.S. Office of War Information, 1944. | Title from FSA or OWI agency caption. | 11671-26. | General information about the FSA/OWI Color Photographs is available at http://hdl.loc.gov/loc.pnp/pp.fsac",Image,"Photo, print, drawing",farm security administration/office of war information color photographs | prints & photographs online catalog (library of congress) | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1,LC-USF35-456 [P&P],slides | business districts | virgin islands of the united states | united states | christiansted | color | commercial streets,2023-03-04T13:32:40.426Z,"The main shopping street, Christiansted, Saint Croix, Virgin Islands",https://www.loc.gov/item/2017877870/,"Delano, Jack, 1914-1997",photographer,Virgin Islands Of The United States | Virgin Islands of the Christiansted | Christiansted | United States | Virgin Islands Of The Christiansted,Commercial streets | United States--Virgin Islands of the United States--Christiansted | Business districts,United States | United States Virgin Islands | Christiansted,"United States | United States Virgin Islands, United States | Christiansted, Saint Croix District, United States Virgin Islands, United States",https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/286898 | https://www.openstreetmap.org/relation/255300,39.7837304 | 17.789187 | 17.7439481,-100.445882 | -64.7080574 | -64.7079823,Unknown | Unknown | Saint Croix District,Unknown | Unknown | Unknown,Unknown | United States Virgin Islands | United States Virgin Islands,United States | United States | United States,,,
LC-D4-18017 [P&P],"Detroit Publishing Co., copyright claimant, publisher.",[between 1900 and 1906],1900,TRUE,Fish-And-Fishing,Dry plate negatives,http://www.loc.gov/item/2016804519/,http://www.loc.gov/item/2016804519/manifest.json,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a12000/4a12100/4a12198v.jpg#h=1024&w=827 | https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a12000/4a12100/4a12198_150px.jpg#h=150&w=121 | https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a12000/4a12100/4a12198t.gif#h=150&w=121 | https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a12000/4a12100/4a12198r.jpg#h=640&w=517,1,Still image,https://lccn.loc.gov/2016804519/mods,//www.loc.gov/pictures/item/2016804519/marc/,https://lccn.loc.gov/2016804519/dc,https://lccn.loc.gov/2016804519/marcxml,"No known restrictions on publication. | <p>The Library of Congress believes that many of the papers in the Detroit Publishing Company collection are in the public domain or have no known copyright restrictions and are free to use and reuse. For example, all photos published in the U.S. more than 95 years ago are in the public domain. The Library has also obtained permission for the use of many other materials, and presents additional materials pursuant to fair use under United States copyright law. Researchers should watch for documents that may be copyrighted (for example, published in the United States less than 95 years ago, or unpublished and the author died less than 70 years ago).</p>  <p> You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.</p>  <p>Credit Line: Library of Congress, Prints &amp; Photographs Division, Detroit Publishing Company Collection.<br>  For information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/102_det.html"">Detroit Publishing Company - Rights and Restrictions Information</a></p>  <p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>  <p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p>",Detroit Publishing Company photograph collection (Library of Congress),English,2016804519,1 negative : glass ; 8 x 10 in.,image/jpg | image/gif | image/tif,"Date based on Detroit, Catalogue P (1906). | Detroit Publishing Co. no. 018017. | Gift; State Historical Society of Colorado; 1949. | ""3"" on negative.",Image,"Photo, print, drawing",detroit publishing company | prints and photographs division | catalog | american memory,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1,LC-D4-18017 [P&P],massachusetts | gloucester | united states | dry plate negatives | fishing nets,2021-09-04T13:24:48.635Z,A Cape Ann fisherman mending his nets,https://www.loc.gov/item/2016804519/,Detroit Publishing Co. | Detroit Publishing Co.,publisher | copyright claimant,Gloucester | Massachusetts--Gloucester | Massachusetts | United States,Fishing nets | United States--Massachusetts--Gloucester,Massachusetts | Gloucester | United States | Gloucester,"Massachusetts, United States | Gloucester, Gloucestershire, England, United Kingdom | United States | Gloucester, Essex County, Massachusetts, United States",https://www.openstreetmap.org/relation/61315 | https://www.openstreetmap.org/relation/181362 | https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/2377876,42.3788774 | 51.8653705 | 39.7837304 | 42.6159286,-72.032366 | -2.2458192 | -100.445882 | -70.6619888,Unknown | Gloucestershire | Unknown | Essex County,Unknown | Unknown | Unknown | Unknown,Massachusetts | England | Unknown | Massachusetts,United States | United Kingdom | United States | United States,,,
"BIOG FILE - BEECHEY, LINCOLN [item] [P&P]",Unknown,1912 June 28.,1928,TRUE,Cars,,http://www.loc.gov/item/2003656135/,http://www.loc.gov/item/2003656135/manifest.json,https://tile.loc.gov/storage-services/service/pnp/cph/3b10000/3b18000/3b18600/3b18665_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/cph/3b10000/3b18000/3b18600/3b18665t.gif#h=118&w=150 | https://tile.loc.gov/storage-services/service/pnp/cph/3b10000/3b18000/3b18600/3b18665_150px.jpg#h=118&w=150 | https://tile.loc.gov/storage-services/service/pnp/cph/3b10000/3b18000/3b18600/3b18665r.jpg#h=505&w=640,1,Still image,https://lccn.loc.gov/2003656135/mods,https://www.loc.gov/pictures/item/2003656135/marc/,https://lccn.loc.gov/2003656135/dc,https://lccn.loc.gov/2003656135/marcxml,No known restrictions on publication.,,English,2003656135,1 photographic print.,image/jpg | image/gif | image/jpeg | image/tif,"J157056 U.S. Copyright Office | This record contains unverified, old data from caption card. | Caption card tracings: Racing; Airplanes 1912; Automobiles 1912; BI; Transportation 1912; Shelf. Sources checked: Beechey, Lincoln: MUMS; www; Web; www in Am. Sports. Oldfield, Barney, 1878-1946 [Bernd E.]: MUMS - no dates; www; Web [dd]; www in Am. Sports.",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",1,"BIOG FILE - BEECHEY, LINCOLN [item] [P&P]",,2021-08-28T13:00:25.742Z,"[Race between Lincoln Beechey in airplane and Barney Oldfield in automobile, going around race track]",https://www.loc.gov/item/2003656135/,,,,,,,,,,,,,,,,
"G3823.A4G46 1851 .S5 | G3823.A4G46 1851 .S5 Copy 3 has neither label nor printed statement, but still has 1851 publication date (as do the other 2 copies). | G3823.A4G46 1851 .S5 Copy 2 has 1852 green oval copyright label affixed at head of title on NW sheet, whereas the printed District Court registration statement on SW sheet still has 1851.","McCrea, S. (Surveyor) | Friend & Aub. | Sidney & Neff. | Moody, S.",,1851,TRUE,Genealogy,Maps,http://www.loc.gov/item/2012592150/,http://www.loc.gov/item/2012592150/manifest.json,https://tile.loc.gov/storage-services/service/gmd/gmd382/g3823/g3823a/la000699.gif | https://tile.loc.gov/image-services/iiif/service:gmd:gmd382:g3823:g3823a:la000699/full/pct:12.5/0/default.jpg#h=1689&w=1698 | https://tile.loc.gov/image-services/iiif/service:gmd:gmd382:g3823:g3823a:la000699/full/pct:25/0/default.jpg#h=3379&w=3396 | https://tile.loc.gov/storage-services/service/gmd/gmd382/g3823/g3823a/la000699.gif#h=150&w=151,1,Cartographic,https://lccn.loc.gov/2012592150/mods,,https://lccn.loc.gov/2012592150/dc,https://lccn.loc.gov/2012592150/marcxml,"<p>The maps in the Map Collections materials were either published prior to  1922, produced by the United States government, or both (see catalogue  records that accompany each map for information regarding date of  publication and source). The Library of Congress is providing access to  these materials for educational and research purposes and is not aware of  any U.S. copyright protection (see Title 17 of the United States Code) or any  other restrictions in the Map Collection materials. </p> <p>Note that the written permission of the copyright owners and/or other rights  holders (such as publicity and/or privacy rights) is required for distribution,  reproduction, or other use of protected items beyond that allowed by fair use  or other statutory exemptions.  Responsibility for making an independent  legal assessment of an item and securing any necessary permissions  ultimately rests with persons desiring to use the item. </p> <p>Credit Line: Library of Congress, Geography and Map Division. </p>",,English,2012592150,"1 map on 4 sheets : hand col., cloth backing ; 107 x 114 cm., sheets 59 x 59 cm. and 59 x 61 cm.",image/tiff | image/gif | image/jpeg | image/jp2,"Relief shown by hachures. | Includes directory of post-offices and ill. of court house. | Shows buildings with landowners' names in rural areas; does not show property boundaries. | 3 copies | LC Land ownership maps, 699 | Hand col. to identify municipalities (townships, boroughs, cities). | LC copy imperfect: Brittle, shellacked, annotated in lead pencil on both sides, missing small sections of margin at sheet edges, stained at upper margin. | Printed in NW/NE/SW/SE segments (sheets). | ""Entered according to Act of Congress in the district court of the eastern district of Penn'a by Sidney & Neff 1851."" | Available also through the Library of Congress Web site as a raster image.",Image,Map,geography and map division | cultural landscapes | american memory | catalog | county landownership maps,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",1,G3823.A4G46 1851 .S5 G3823.A4G46 1851 .S5 Copy 2 G3823.A4G46 1851 .S5 Copy 3,landowners | maps | land tenure | united states | allegheny county | allegheny county (pa.) | administrative and political divisions | pennsylvania,2021-11-18T16:08:47.343Z,"Map of Allegheny County, Pennsylvania, with the names of property-holders : from actual surveys",https://www.loc.gov/item/2012592150/,,,Pennsylvania | Allegheny County | Allegheny County (Pa.) | Pennsylvania--Allegheny County | United States,United States--Pennsylvania--Allegheny County | Allegheny County (Pa.)--Administrative and political divisions--Maps | Landowners--Pennsylvania--Allegheny County--Maps | Land tenure--Pennsylvania--Allegheny County--Maps | Allegheny County (Pa.)--Maps,Pennsylvania | United States | Allegheny County,"Pennsylvania, United States | United States | Allegheny County, Pennsylvania, United States",https://www.openstreetmap.org/relation/162109 | https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/2563472,40.9699889 | 39.7837304 | 40.4597204,-77.7278831 | -100.445882 | -79.9760405,Unknown | Unknown | Allegheny County,Unknown | Unknown | Unknown,Pennsylvania | Unknown | Pennsylvania,United States | United States | United States,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
